Individual	Period (culture)	Site	Country	Age (cal. BP)	Mean depth (X)	Genetic sex	Haplogroups mtDNA	Haplogroups Y
VLASA7	LM	Vlasac	Serbia	8,764–8,340	15.21	M	U5a2a	I2
VLASA32	LM	Vlasac	Serbia	9,741–9,468	12.65	M	U5a2a	R1b1
AKT16	EN	Aktopraklık	Turkey	8,635–8,460	12.25	F	K1a3	–
BAR25	EN	Barcın	Turkey	8,384–8,205	12.65	M	N1a1a1	G2a2b2a1
Nea3	EN	Nea Nikomedeia	Greece	8,327–8,040	11.57	F	K1a2c	–
Nea2	EN	Nea Nikomedeia	Greece	8,173–8,023	12.51	F	K1a	–
LEPE48	TEN	Lepenski Vir	Serbia	8,012–7,867	10.92	M	K1a1	C1a2b
LEPE52	E-MN	Lepenski Vir	Serbia	7,931–7,693	12.37	M	H3	G2a2b2a1a1c
STAR1	EN (Starčevo)	Grad-Starčevo	Serbia	7,589–7,476	10.55	F	T2e2	–
VC3	EN (Starčevo)	Vinča-Belo Brdo	Serbia	7,565–7,426	11.22	M	HV-16311	G2a2a1a3
Asp6	EN (LBK)	Asparn-Schletz	Austria	7,575–7,474	12.11	M	U5a1c1	G2a2b2a3
Klein7	EN (LBK)	Kleinhadersdorf	Austria	7,244–7,000	11.3	F	W1-119	–
Dil16	EN (LBK)	Dillingen-Steinheim	Germany	7,235–6,998	10.6	M	J1c6	C1a2b
Ess7	EN (LBK)	Essenbach-Ammerbreite	Germany	(7,050–6,900 BP)	12.34	M	U5b2c1	G2a2b2a1a1
Herx	EN (LBK)	Herxheim	Germany	7,164–6,993	11.46	F	K1a4a1i	–
